SKU,Item #
0,BAG-718037725512
0,BAG-718037725529
15EKB407NCH,BAG-874933001164
15EKF808S13,BAG-874933001836
15EKF808S15,BAG-874933001867
15EKP116NBK,BAG-874933001928
15EKP117NBKCT,BAG-874933001966
15EKB407NCH17,BAG-874933001980
15EKB424,BAG-874933001997
15EKS618,BAG-874933002000
15EKB407NCH18,BAG-874933002017
15EKF808S18,BAG-874933002024
15EKB417BK18,BAG-874933002048
15EKP119,BAG-874933002055
15EKP120,BAG-874933002062
15EKS620,BAG-874933002079
15EKEVA12,BAG-874933002086
15EKB417,BAG-874933002093
15EKF850,BAG-874933002109
15EKB427BK17,BAG-874933002147
15EKP129,BAG-874933002154
15EKB419,BAG-874933002161
15EKP121,BAG-874933002246
15EKF821,BAG-874933002260
15EKF870,BAG-874933002307
0,BAG-TOS-PX1181E-1N
0,CA-3330
0,CA-3335-A2
SST-ML06B,CA-4710007221013
SST-GD05B-USB3,CA-4710713968806
BFC-PRO-300-WWXKW-RP,CA-4716779443233
BFC-PRO-300-RRXKR-RP,CA-4716779443240
BFC-PRO-300-KKXRK-JP,CA-4716779444124
BFC-PRM-300-KKXSK-RP,CA-4716779444582
0,CA-4716779444599
BFC-CLS-600-KKLG1-RP,CA-4716779446654
VO750B1W3A,CA-4716872058235
VP300A1W2N,CA-4717964390219
VP300A5W2N,CA-4717964390738
LL-PC-Q12B,CA-4718466004604
CSCORC430KWN1,CA-4719512028643
CSCOSGC1000KWN1,CA-4719512031087
CSCORC550KKN1,CA-4719512031384
0,CA-4719512034613
CSCORC1200KKN1,CA-4719512035184
0,CA-4719512035917
CSCORCK350KWN1,CA-4719512036938
0,CA-4719512037669
CSCORC922XMKKN2,CA-4719512037829
RC-120A-KKN1,CA-4719512037836
CSCORC344SKN2,CA-4719512038796
0,CA-4719512039083
CSCORC344SKR420,CA-4719512039137
CSCORCK380KWN1,CA-4719512039229
0,CA-4719512039267
CSCOSGC2100GWN2,CA-4719512040690
CSCONSE200AKKN1,CA-4719512043035
CSCONSE400KWN2,CA-4719512044179
CSCOCMS693KWN1,CA-4719512044872
CSCOSIL352MKKN1,CA-4719512045275
CSCOCOS5000KWN1,CA-4719512046197
CSCORC902XBKKN2,CA-4719512046241
0,CA-502B
0,CA-5032037016933
0,CA-5032037038621
CSNZP630WW,CA-5060301690732
CSNZP530B,CA-5060301690831
CSNZS530WB,CA-5060301690961
CSNZH440W,CA-5060301691098
CSNZP240W,CA-5060301691111
CSNZP410W,CA-5060301691708
CSNZP410B,CA-5060301691715
CSNZP410GM,CA-5060301691739
0,CA-7350041081074
0,CA-7350041082019
CSNZP410B,CA-815671010537
0,CA-815671010704
CC350D,CA-843591039680
0,CA-895562002766
0,CA-C8820
0,CA-CABACC-ST69
0,CA-CBN-6RU-66WM
0,CA-CGMR2W
0,CA-CGMR3W
Used PowerEdge 2410 Server Rack,CA-DELL 24U RACK
0,CA-HP-42U
0,CA-S601
0,CA-S607
0,CA-SERVER RACK
0,CA-Xt500s1204
0,CPU-5032037010719
BX80637E31230V2,CPU-5032037037259
BX80637E31220V2,CPU-5032037037310
BX80646E31225V3,CPU-5032037049955
BX80646E31220V3,CPU-5032037050258
BX80646G3420,CPU-5032037056472
BX80646I54590S,CPU-5032037061254
BX80646I74790,CPU-5032037061551
BX80646G1840,CPU-5032037062534
BX80646I54460,CPU-5032037062763
BX80646I74790K,CPU-5032037065948
BX80646I54690K,CPU-5032037066013
BX80646I34160,CPU-5032037066921
0,CPU-730143263016
0,CPU-887758945094
SDRW-08D2S-U LITE,DW-4716659385066
0,DW-4718390028073
GP50NW40,DW-8806084581259
BH16NS40(OEM),DW-8808992988762
0,DW-AD7760H01
0,DW-DRW-24D3ST(BULK)
0,DW-IHAS124-13
BDC-207DBKS,DW-PIO-BDC207DBK
BDR209DBKS,DW-PIO-BDR209DBK
SH-224DB/AUBS,DW-SAM-SH224DB/BEBS
0,GC-4250223676513
EVGA-02G-P4-2763-KR,GC-4250812400741
11E-GTX970-4GSC,GC-4250812406521
11E-GTX970-4GSCACX2,GC-4250812406545
0,GC-4250812406552
11E-GTX980-4GSCACX,GC-4250812406620
11LK600LP,GC-4710918137724
11LK2000,GC-4710918137731
HD7750-1GD5-V2,GC-4716659171683
HD7770-1GD5,GC-4716659267096
GTX760-DC2OC-2GD5,GC-4716659537458
GTX760-DF-2GD5,GC-4716659572114
R7240-2GD3-L,GC-4716659597704
R9270X-DC2T-2GD5,GC-4716659602354
R9270-DC2OC-2GD5,GC-4716659623342
R5230-SL-1GD3-L,GC-4716659743446
GTX750-PHOC-2GD5,GC-4716659761457
GT740-2GD3,GC-4716659777960
R5450-MD1GD3HLP,GC-4719072241193
N610GT-MD1GD3LP,GC-4719072266646
0,GC-4719072275198
N760-TF-2GD5OC,GC-4719072301576
N750TI-TF-2GD5OC,GC-4719072328184
N750OC-2GI,GC-4719331310301
0,GC-4719331312176
N210SL-1GI,GC-4719331331153
N75TOC-2GI,GC-4719331331245
0,GC-4719331332204
0,GC-4719331334123
N980-G1-GAMING-4GD,GC-4719331336165
R929OC-4GD,GC-4719331350260
0,GC-4719543359402
EAH5450SLIDI1GD3LP,GC-4719543367438
0,GC-4895106269279
0,GC-4895139005301
0,HD-4514953621886
0,HD-4716820820297
PX-256M5P,HD-4718390729369
PX-256M5M,HD-4718390729499
SSDSC2CW120A310,HD-5032037019064
SSDSC2BW240A4K5,HD-5032037051538
SSDSC2BP240G4R5,HD-5032037060134
SSDSC2BP480G4R5,HD-5032037060158
SDSSDHP-128G-Q25,HD-619659089269
SDSSDHII-240G-Q25,HD-619659112141
0S03662,HD-705487194005
0S03666,HD-705487194043
WDBY8L0020BSL-PESN,HD-718037801094
WDBFJK0040HBK-AESN,HD-718037811765
WDBFJK0020HBK-AESN,HD-718037812304
WDBFJK0030HBK-AESN,HD-718037812434
WDBFJK0060HBK-AESN,HD-718037826172
SSDSC2BW120A401,HD-735858264839
SSDSC2BW240A401,HD-735858264877
SSDMCEAW240A401,HD-735858265645
SV300S37A/120G,HD-740617212662
SV300S37A/240G,HD-740617212716
SV300S37A/480G,HD-740617223941
SHFS37A/120G,HD-740617232455
STBX2000401,HD-7636490048838
STBX1000301,HD-763649041215
STDA4000300,HD-763649052211
STDR1000300,HD-763649053058
0,HD-829160166865
0,HD-842024033813
0,HD-842024036463
MZ-7PD256BW,HD-8806085216686
MZ-7TE120BW,HD-8806085767546
MZ-7TE250BW,HD-8806085767553
MZ-7TE500BW,HD-8806085767560
MZ-7TE1T0BW,HD-8806085767584
MZ-MTE120BW,HD-8806085944701
HDTB105AK3AA,HD-9334427028974
HDTB110AK3BA,HD-9334427028998
HDTB120AK3CA,HD-9334427036139
0,HD-9334427038362
0,HD-DT01ACA100
0,HD-ST3500414SS
0,HD-WD3001FAEX
0,HD-WD7501AALS
0,HD-WD8088AADS
0,MB-4716659490906
H81M-PLUS,MB-4716659550242
B85M-G,MB-4716659553748
