sku,MYOB-code,MYOB-Item Name,Units On Hand,Total Value,Average Cost,Current Price
10V95070,AC-023942950707,VERBATIM 4.7G 16X 5PK 10V95070,0,0,0,5
07V95252,AC-023942952527,VERBATIM CD-R 52x 07V95252 100,0,0,0,19
U34HHP,AC-077511994630,ALOGIC USB3 4 PORT HUB U34HHP,8,182,22.75,5
HD15S04,AC-0900312500005,ALOGIC HD15S04 4P VGA SPLITTER,0,0,0,15
ACP70AU,AC-092636273873,TARGUS ACP70AUZ USB3 V-DOCKING,0,0,0,49
ACP71AU,AC-092636273880,TARGUS ACP71AU USB3 DOCKING,0,0,0,15
CWAA0775,AC-095205759822,XEROX CWAA0775 TONER CARTRIDGE,0,0,0,19
09T-CF32G233X,AC-09T-CF32G233X,TEAM 09T-CF32G233X,0,0,0,129
2L-5205U,AC-2L-5205U,ATEN 2L-5205U,0,0,0,29
2L-5303U,AC-2L-5303U,ATEN 2L-5303U,0,0,0,19
2L-7D03U,AC-2L-7D03U,2L-7D03U CABLE,0,0,0,19
Sharxx Mini,AC-4040849201332,TECXUS SHARXX MINI90 LED TORCH,1,13,13,399
31T9VNIMH1PK,AC-4250145141014,TECXUS 31T9VNIMH1PK 9V NIMH BA,4,20,5,15
REBELLIGHT X120,AC-4250145201268,TECXUS REBELLIGHT X120,0,0,0,19
HA22,AC-471 120099164 2,AOC HA22 VESA MONITOR STAND,4,112,28,19
SST-LS01A,AC-4710007220061,SST-LS01A BLUE 30CM LED STRIP,1,13.3,13.3,5
SST-LS01W,AC-4710007220078,SST-LS01W WHITE 30CM LED STRIP,3,38.7,12.9,399
SST-LS01V,AC-4710007220085,SST-LS01V GREEN 30CM LED STRIP,2,25.8,12.9,19
SST-LS01R,AC-4710007220092,SST-LS01R RED 30CM 15LED STRIP,3,39.9,13.3,19
SST-FF143W,AC-4710007220467,SST-FF143W140MM WH FAN FILTER,0,0,0,19
SST-CP06-E2,AC-4710007220481,SST-CP06-E2 SATA PWR CABLE,3,32.7,10.9,19
SST-PP05-E,AC-4710007220559,SST-PP05-E SHORT CABLE SET,0,0,0,19
SST-NT07-115X,AC-4710007220597,NITROGON COLLER SST-NT07-115X,0,0,0,5
SST-SDP08-LITE,AC-4710007220702,"SST-SDP08-LITE 3.5""-2.5"" 2BAY",0,0,0,5
SST-CPF02,AC-4710007220948,SST-CPF02 1 TO3 PWM FAN SPLITT,0,0,0,5
CS-62U,AC-4710423770478,ATEN CS-62U 2P USB VGA KVM 1.2,0,0,0,19
CS-1754,AC-4710423770515,ATEN CS-1754,0,0,0,299
UE-250,AC-4710423770737,ATEN UE-250,8,112,14,15
2L-5202P,AC-4710423771215,ATEN 2L-5202P,2,17.28,8.64,399
2L-1001P/C,AC-4710423771796,ATEN 2L-1001P/C,0,0,0,15
2L-1003P/C,AC-4710423771826,ATEN 2L-1003P/C,0,0,0,19
2L-5202U,AC-4710423772557,ATEN 2L-5202U,0,0,0,15
CS-1732A,AC-4710423772670,ATEN CS-1732A,0,0,0,145
2L-5203U,AC-4710423772915,ATEN 2L-5203U,0,0,0,19
CS-1742,AC-4710423773080,ATEN CS-1742,0,0,0,239
CS-1774,AC-4710423773240,ATEN CS-1774,0,0,0,195
SA0141,AC-4710423773905,ATEN SA0141 RJ45F TO DB9F,0,0,0,19
KN-1000,AC-4710423774094,ATEN KN-1000 ALTUSEN 1P KVM,0,0,0,15
CS-1316,AC-4710423774209,ATEN CS-1316,0,0,0,485
CE-250A,AC-4710423774612,ATEN CE-250A,0,0,0,259
CS-1734B,AC-4710423775053,ATEN CS-1734B 4P USB KVMP HUB,0,0,0,15
CS-62S,AC-4710423775121,ATEN CS-62S 2P PS/2 VGA KVM S,2,32,16,15
CS-62US,AC-4710423775336,ATEN CS-62US 2 PORT USB KVM,0,0,0,49
CS-682,AC-4710423775909,ATEN CS-682,3,261,87,119
CS-1308,AC-4710423775916,ATEN CS-1308 8 PORT KVM SWITCH,0,0,0,349
CS-22U,AC-4710423775978,ATEN CS-22U 2P USB VGA KVM,4,83.6,20.9,39
CS-1642,AC-4710423776005,ATEN CS-1642,0,0,0,379
CS-1764A,AC-4710423776449,ATEN CS-1764A,0,0,0,239
CS-64US,AC-4710423776456,ATEN CS-64US,2,122,61,89
CE-700A,AC-4710423776593,ATEN CE-700A,0,0,0,319
CS-1708IP,AC-4710423776715,ATEN CS-1708IP 8 PORT VGA KVM,0,0,0,5
CS-692,AC-4710423776814,ATEN CS-692,0,0,0,399
CS-82U,AC-4710423777002,ATEN CS-82U PS2/USB KVM,0,0,0,75
CS-84U,AC-4710423777019,ATEN CS-84U 4P USB PS/2 VGA KV,3,292.8,97.6,19
2A-130G,AC-4710423777248,ATEN 2A-130G VGA EDID EMULATOR,0,0,0,15
