name,sku,price,all_ln_stock,supplier,manufacturer,category_ids
"[GB-BXI7-4500] BRIX, I7-4500U,2SODIMM-1600DDR3,WIFI,BT,1XmSATA,4XUSB,HDMI,MINI-DISPLAY PORT",GB-BXI7-4500,599,Stock Low,synnex,Gigabyte,15
"[GB-BXI5-4570R] BRIX  PRO,I5-4570R,2SODIMM-DDR3,WIFI,BT,1XmSATA SSD SLOT,1X 2.5""HDD SLOT,4XUSB3.0,HDMI,MINI-DP,BLK RED",GB-BXI5-4570R,629,In Stock,synnex,Gigabyte,15
"[GB-BXI7-4770R] BRIX  PRO,I7-4770R,2SODIMM-DDR3,WIFI,BT,1XmSATA SSD SLOT,1X 2.5""HDD SLOT,4XUSB3.0,HDMI,MINI-DP,BLACK",GB-BXI7-4770R,829,Pre Order,synnex,Gigabyte,15
"[BX80635E52603V2] XEON E5-2603V2/1.80GHz/10MB CACHE/6.40GTs/4CORE/LGA2011, NO THERMAL SOLUTION",BX80635E52603V2,309,Pre Order,synnex,Intel,14
"[BX80635E52609V2] XEON E5-2609V2/2.40GHz/10MB CACHE/6.40GTs/4CORE/LGA2011, NO THERMAL SOLUTION",BX80635E52609V2,445,Pre Order,synnex,Intel,14
"[BX80635E52620V2] XEON E5-2620V2/2.00GHz/15MB CACHE/7.20GTs/6CORE/LGA2011,NO THERMAL SOLUTION",BX80635E52620V2,619,In Stock,synnex,Intel,14
"[BX80635E52630V2] XEON E5-2630V2/2.60GHz/15MB CACHE/7.20GTs/6CORE/LGA2011, NO THERMAL SOLUTION",BX80635E52630V2,899,Pre Order,synnex,Intel,14
[BX80635E52640V2] XEON E5-2640V2/2.00GHz/20MB CACHE/7.20GTs/8CORE/LGA2011,BX80635E52640V2,1279,Pre Order,synnex,Intel,14
"[BX80635E52650V2] XEON E5-2650V2/2.60GHz/20MB CACHE/8.00GTs/8CORE/LGA2011,NO THERMAL SOLUTION",BX80635E52650V2,1699,Pre Order,synnex,Intel,14
[BX80646E31220V3] XEON QUAD CORE E3-1220V3/3.10GHz/8M CACHE/LGA1150,BX80646E31220V3,299,In Stock,synnex,Intel,14
